Module,Screen,Issue,Steps to Reproduce,Priority,Severity,Evidence,Status,Retesting Remarks,Retesting Evidence,Retesting Remarks,Retesting Evidence
Provider,,,,,,,,,,,
,,,,,,,,,,,
Login,Login,"Functionality Issue:  ""Remember Me"" functionality continues to work even after users uncheck it.",Login,High,High,,,New Issue//Done,XRecorder_08092023_100859.mp4,Closed,
,,,,,,,,,,,
Bookings,Bookings,Grammatical Issue: Looks like your customer haven't book your services yet,Bookings,Low,Low,IMG_20230811_112859.jpg,Done,Closed,,,
,,,,,,,,,,,
Profile,Edit Profile,"UI Issue: Merged Boxes for ""Select City"" and ""Address"" Fields",Profile >> Edit Profile(Icon),Low,Low,IMG_20230809_114738.jpg,Done,Closed,,,
,Edit Profile,"Functionality Issue: Users are redirected to the home page after 
                                using the camera feature",Profile >> Edit Profile(Icon) >> Camera(Icon) >> Camera,Medium,Medium,,,New Issue// Need to disscuss with testing team beacouse its working in my device,XRecorder_08092023_100438.mp4,,
,Edit Profile,"Security Issue: Application fails to request necessary permissions
                         from the user when accessing “Gallery""",Profile >> Edit Profile(Icon) >> Camera(Icon) >> Gallery,High,Medium,,Done,New Issue //Done,XRecorder_08092023_100130.mp4,Reopened,
,Edit Profile,"Input Validation Issue: ""Contact Number"" field accepts invalid input",Profile >> Edit Profile(Icon) >> Contact Number,Medium,Medium,,Done,New Issue //Done,IMG_20230908_104342.jpg,Reopened,
,Edit Profile,"UI Issue: Absence of Floating Label Text ""City""",Profile >> Edit Profile(Icon) >> City,Low,Low,,Done,New Issue //Done,IMG_20230908_104513.jpg,Closed,
,Edit Profile,UX Issue: Duplicate Toast Message Issue Upon Data Save,Profile >> Edit Profile(Icon) >> Save Changes,Medium,Low,,Done,New Issue //Done,IMG_20230908_104528.jpg,Closed,
,,,,,,,,,,,
Profile,Profile,UI Issue: Identical Icons for Different Fields,Profile,Medium,Low,IMG_20230809_114640.jpg,Done,Reopened,IMG_20230908_104606.jpg,Reopened,
,,,,,,,,,,,
Profile,Notifications,"Functionality Issue: No information regarding the ""Cancel Booking""
                               and ""Add Booking"" functionalities",Profile >> Notifications(Icon) >> Cancel booking,Medium,Medium,XRecorder_09082023_115038.mp4,Confirmed with mahmood all old record deleted that's why details not comming.,,,,
,,,,,,,,,,,
Profile,Subscription History,Grammatical Issue: You haven't subscribe any subscription,Profile >> Subscription History,Low,Low,IMG_20230811_113258.jpg,Done,Closed,,,
,,,,,,,,,,,
Profile,Verify Your Id,Grammatical issue: Provider document has been save successfully,Profile >> Verify Your Id >> Select Document >> Add Documents >> Yes,Low,Low,IMG_20230811_113419.jpg,Done,Closed,,,
,Verify Your Id,UX Issue: Duplicate Toast Message Issue Upon Data Save,,,,,Done,New Issue //Done,XRecorder_08092023_101016.mp4,Reopened,
,,,,,,,,,,,
Profile,Services,Functionality Issue: User unable to Add Service,Profile >> Services >>Add Service >> Fill Data >>Save,Medium,Medium,XRecorder_11082023_120804.mp4,Done but need to verify from Siddharth,Closed,,,
,Services,Error message Issue: User encounters an inaccurate Error message,Profile >> Services >>Add Service >> Discount,,,,,New Issue //Done,IMG_20230908_120521.jpg,,
,,,,,,,,,IMG_20230908_121429.jpg,,
,Services,Functionality Issue: User can enter invalid characters in the minute field,Profile >> Services >>Add Service >> Duration: Minute,Medium,Low,,,New Issue,IMG_20230908_121017.jpg,,
,,,,,,,,,IMG_20230908_121039.jpg,,
,Services,Pluralization Issue: minute (It should be minutes),Profile >> Services >>Add Service >> Duration: Minute,Low,Low,,,New Issue,IMG_20230908_104248.jpg,Closed,
,,,,,,,,,,,
Profile,Handyman List,Functionality Issue: Chat icon is not responsive when tapped,Profile >> Handyman List >> Chat Icon,Medium,Medium,XRecorder_11082023_114853.mp4,Please test with handyman status online.,Closed,,,
,Handyman List,Grammatical Issue: Handyman has been Trash successfully,Profile >> Handyman List >> Update >> Kebab menu >> Delete,Low,Low,IMG_20230811_114944.jpg,Done,Reopened: Handman has been deleted successfully,IMG_20230908_122636.jpg,Reopened,
,Handyman List,Grammatical Issue: Handyman has been save successfully,Profile >> Handyman List >> Add Handyman >> Fill Data >> Save,Low,Low,IMG_20230811_115234.jpg,Need to changes from Mahmood side,Closed,,,
,Handyman List,"Input Validation Issue: ""Email Address"" field accepts invalid input",Profile >> Handyman List >> Add Handyman,Medium,Medium,IMG_20230811_120233.jpg,First point Done (as per second screenshot dots ... allowe in emails).,First point closed,,,
,,,,,,IMG_20230811_120304.jpg,,,,,
,Handyman List,Functionality Issue: User unable to edit Handyman Details,Profile >> Handyman List >> Update >> First Name >> Save,Medium,Medium,XRecorder_11082023_120037.mp4,Done,Reopened,,,
,Handyman List,"Input Validation Issue: ""Contact Number"" field accepts invalid input",Profile >> Handyman List >> Add Handyman,Medium,Medium,IMG_20230811_120411.jpg,Done,Reopened //Done,IMG_20230908_154041.jpg,Reopened,
,,,,,,,,,,,
